frag_ID,rmax,topt,e,PR,species,full_species,dw_mg_cm2,dw_log,afdw_mg_cm2,afdw_log,chla_ug_cm2_mean,chla_log,chla_pg_sym,chla_sym_log,sym_cm2,sym_log,prot_ug_cm2,prot_log
E04,NA,NA,NA,NA,NA,NA,58.9625912044196,4.076903195429953,12.5164154002253,2.527041014791294,NA,NA,NA,NA,266207.342467479,12.492030767085218,830.6702673,6.722232925860658
E05,NA,NA,NA,NA,NA,NA,85.3720777851471,4.447019089312742,17.9230445608579,2.8860872904851633,NA,NA,NA,NA,471837.726128646,13.064390404879823,656.4653382,6.486869894481515
E06,NA,NA,NA,NA,NA,NA,36.0209566498583,3.584100898247387,8.47709224796219,2.1373674957143027,5.005180795574883,1.610473535106749,4.477708740481162,1.4991114737390137,1117799.54563035,13.926872619332011,672.2549461,6.510637652652588
E07,1.1,29.29,0.37,NetPhoto,Peyd,Pocillopora eydouxi,55.4827828562639,4.016072753818525,11.461025979806,2.43895223431297,5.03061174064244,1.6155415951347079,6.159207935786763,1.817948187425275,816762.770974681,13.613103965673707,600.2920335,6.397416259305171
E07,1.63,30.35,0.27,GrossPhoto,Peyd,Pocillopora eydouxi,55.4827828562639,4.016072753818525,11.461025979806,2.43895223431297,5.03061174064244,1.6155415951347079,6.159207935786763,1.817948187425275,816762.770974681,13.613103965673707,600.2920335,6.397416259305171
E08,0.95,29.47,0.2,NetPhoto,Peyd,Pocillopora eydouxi,121.277252714284,4.798079269215691,27.1904484029597,3.302865749974366,2.2333344237818857,0.8034957259892374,5.687968309859152,1.7383531210823169,392641.854194365,12.880653162871194,529.8253397,6.272547404497531
E08,1.6,30.66,0.3,GrossPhoto,Peyd,Pocillopora eydouxi,121.277252714284,4.798079269215691,27.1904484029597,3.302865749974366,2.2333344237818857,0.8034957259892374,5.687968309859152,1.7383531210823169,392641.854194365,12.880653162871194,529.8253397,6.272547404497531
E09,NA,NA,NA,NA,NA,NA,42.7621150882662,3.7556525491118813,10.0290063652389,2.3054815307891783,4.087052219068198,1.407823981370641,4.766080214621059,1.5615242091310273,857529.045887691,13.661810330203888,546.14716,6.3028884632394115
E10,NA,NA,NA,NA,NA,NA,40.8244816438714,3.7092819417488885,9.81149407210555,2.2835545629088534,3.8885287160805952,1.3580308639990903,5.763057242537801,1.7514681051724739,674733.661741014,13.422073316790891,623.47878,6.435314730860099
F01,0.89,29.2,0.42,NetPhoto,Prug,Pachyseris rugosa,77.927298094824,4.355776316329538,17.5308145206063,2.8639601622351276,5.372814723327008,1.681351928242589,5.828728938045444,1.762798955673937,921781.537696395,13.734063530532925,957.5117172,6.864337958264521
F01,1.24,29.89,0.42,GrossPhoto,Prug,Pachyseris rugosa,77.927298094824,4.355776316329538,17.5308145206063,2.8639601622351276,5.372814723327008,1.681351928242589,5.828728938045444,1.762798955673937,921781.537696395,13.734063530532925,957.5117172,6.864337958264521
F02,NA,NA,NA,NA,NA,NA,26.5541027504656,3.2791842649572835,5.28352558397663,1.6645935991275258,1.4945309269577054,0.4018123963769916,7.032729034759,1.9505748288940645,212510.807621201,12.2667481254472,238.3329396,5.473668601996561
F03,1.11,29.2,0.47,NetPhoto,Prug,Pachyseris rugosa,123.724337542766,4.818056006552175,27.2445307234433,3.304852793568252,6.9268722293824965,1.9354083735668284,5.8583419911101515,1.7678666268841672,1182394.65020885,13.983052304646936,2030.656922,7.6161146265829665
F03,1.72,30.3,0.43,GrossPhoto,Prug,Pachyseris rugosa,123.724337542766,4.818056006552175,27.2445307234433,3.304852793568252,6.9268722293824965,1.9354083735668284,5.8583419911101515,1.7678666268841672,1182394.65020885,13.983052304646936,2030.656922,7.6161146265829665
F04,0.92,29.04,0.25,NetPhoto,Prug,Pachyseris rugosa,93.2611267549123,4.535403373174145,21.1893740908022,3.0534998338921935,5.904306585663766,1.7756820144160204,3.748140969712075,1.321259975651807,1575262.67911885,14.269932596728488,1227.707584,7.112903956572618
F04,1.47,29.65,0.39,GrossPhoto,Prug,Pachyseris rugosa,93.2611267549123,4.535403373174145,21.1893740908022,3.0534998338921935,5.904306585663766,1.7756820144160204,3.748140969712075,1.321259975651807,1575262.67911885,14.269932596728488,1227.707584,7.112903956572618
F05,NA,NA,NA,NA,NA,NA,115.185611501064,4.746544840296741,27.6921160393414,3.3211477531631095,4.973630142326074,1.6041499844190932,6.163272053372881,1.8186078140161974,806978.84163725,13.601052728367172,1362.908252,7.217376116151362
F06,NA,NA,NA,NA,NA,NA,80.2508386032829,4.385157211840671,18.8527566143757,2.936659142691495,9.074413154209635,2.2054587118571702,7.263325720086283,1.982837812112507,1249346.85623624,14.038131457708936,1398.095354,7.242866127906932
F07,1.28,29.58,0.21,NetPhoto,Prug,Pachyseris rugosa,128.541557336427,4.856252255447988,29.6994706090725,3.39112922103944,10.879066382663812,2.386840427328943,7.212341877351072,1.9757937081763672,1508395.82588665,14.226557277116852,2019.660975,7.6106849421511065
F07,0.72,32.77,0.28,Respiration,Prug,Pachyseris rugosa,128.541557336427,4.856252255447988,29.6994706090725,3.39112922103944,10.879066382663812,2.386840427328943,7.212341877351072,1.9757937081763672,1508395.82588665,14.226557277116852,2019.660975,7.6106849421511065
F07,1.97,29.86,0.2,GrossPhoto,Prug,Pachyseris rugosa,128.541557336427,4.856252255447988,29.6994706090725,3.39112922103944,10.879066382663812,2.386840427328943,7.212341877351072,1.9757937081763672,1508395.82588665,14.226557277116852,2019.660975,7.6106849421511065
F08,0.56,31.08,0.57,Respiration,Prug,Pachyseris rugosa,134.379797538829,4.900670100859146,32.6565429773131,3.486045233113026,13.91758208661284,2.6331529391441992,3.6939182291758,1.3066877454128745,3767701.72568714,15.141975751695599,2473.148438,7.813247289173376
F08,1.45,30.47,0.24,GrossPhoto,Prug,Pachyseris rugosa,134.379797538829,4.900670100859146,32.6565429773131,3.486045233113026,13.91758208661284,2.6331529391441992,3.6939182291758,1.3066877454128745,3767701.72568714,15.141975751695599,2473.148438,7.813247289173376
F08,0.94,28.91,0.14,NetPhoto,Prug,Pachyseris rugosa,134.379797538829,4.900670100859146,32.6565429773131,3.486045233113026,13.91758208661284,2.6331529391441992,3.6939182291758,1.3066877454128745,3767701.72568714,15.141975751695599,2473.148438,7.813247289173376
F09,NA,NA,NA,NA,NA,NA,74.9373841168801,4.316652886389607,18.9695051843985,2.942832699494892,7.596762410395228,2.027722157896884,4.300930910909244,1.458831490177868,1766306.54334069,14.38440122568329,1335.164184,7.196809547542068
F10,NA,NA,NA,NA,NA,NA,96.5196980044901,4.569747111913251,27.5861579115143,3.31731412197227,15.234997909278876,2.7235952752062143,6.171168014538849,1.8198881254370776,2468738.15027986,14.71921770773341,2670.872677,7.890160543310352
G01,0.63,34,0.49,Respiration,Elam,Echinopora lamellosa,45.5697395774088,3.8192438904780004,10.3105199649226,2.333164729824342,6.134860400757515,1.8139873233412336,4.2409518373650705,1.4447877339943613,1446576.29608195,14.184710147311144,707.0974201,6.56116845003898
G01,1.52,29.99,0.45,GrossPhoto,Elam,Echinopora lamellosa,45.5697395774088,3.8192438904780004,10.3105199649226,2.333164729824342,6.134860400757515,1.8139873233412336,4.2409518373650705,1.4447877339943613,1446576.29608195,14.184710147311144,707.0974201,6.56116845003898
G01,1.01,28.86,0.82,NetPhoto,Elam,Echinopora lamellosa,45.5697395774088,3.8192438904780004,10.3105199649226,2.333164729824342,6.134860400757515,1.8139873233412336,4.2409518373650705,1.4447877339943613,1446576.29608195,14.184710147311144,707.0974201,6.56116845003898
G02,0.66,33.17,0.53,Respiration,Elam,Echinopora lamellosa,66.3475552097246,4.194906913222558,15.6385135966912,2.749736692025982,7.420413275775889,2.0042347531721587,4.032883867016966,1.3944817197952404,1839976.92977571,14.42526359134119,872.1934968,6.771011299292816
G02,1.06,28.12,0.35,NetPhoto,Elam,Echinopora lamellosa,66.3475552097246,4.194906913222558,15.6385135966912,2.749736692025982,7.420413275775889,2.0042347531721587,4.032883867016966,1.3944817197952404,1839976.92977571,14.42526359134119,872.1934968,6.771011299292816
G02,1.63,29.86,0.32,GrossPhoto,Elam,Echinopora lamellosa,66.3475552097246,4.194906913222558,15.6385135966912,2.749736692025982,7.420413275775889,2.0042347531721587,4.032883867016966,1.3944817197952404,1839976.92977571,14.42526359134119,872.1934968,6.771011299292816
G03,NA,NA,NA,NA,NA,NA,126.952200480767,4.843810641444868,29.3984254297414,3.3809411160989016,8.3089280468952,2.1173306049865697,4.393239436619713,1.4800668676330253,1891298.7026467,14.452774295317816,604.6061768,6.404577298634554
G04,NA,NA,NA,NA,NA,NA,92.352215417792,4.525609695721797,21.85809664759,3.084571408856473,9.837744168118531,2.2862264335746207,4.346980579126933,1.4694814843470163,2263121.26061865,14.632255507191879,930.772092,6.836014448168157
G05,1.9,30.04,0.44,GrossPhoto,Elam,Echinopora lamellosa,75.7160874840613,4.326990654167012,19.4714825279524,2.9689509607047193,9.313283842033268,2.2314417511200944,4.847001234748762,1.5783602116081543,1921452.74799296,14.468592097476215,1352.428497,7.209657142040303
G05,1.31,29.25,0.65,NetPhoto,Elam,Echinopora lamellosa,75.7160874840613,4.326990654167012,19.4714825279524,2.9689509607047193,9.313283842033268,2.2314417511200944,4.847001234748762,1.5783602116081543,1921452.74799296,14.468592097476215,1352.428497,7.209657142040303
G06,NA,NA,NA,NA,NA,NA,89.8571828009992,4.498221552171252,22.8467751957137,3.1288099780901093,10.06581834830198,2.309145362125568,4.611672151287789,1.52859051386269,2182682.98744765,14.59606540622715,2271.294077,7.728105026016299
G07,0.45,32.1,0.31,Respiration,Elam,Echinopora lamellosa,60.5804914924574,4.103972918680366,15.4330529657591,2.736511505893567,4.628128938797836,1.5321526695305905,3.9629669139094927,1.376992965424896,1167844.45576715,13.970670262069973,1093.224408,6.9968867809177295
G07,1.25,29.66,0.3,GrossPhoto,Elam,Echinopora lamellosa,60.5804914924574,4.103972918680366,15.4330529657591,2.736511505893567,4.628128938797836,1.5321526695305905,3.9629669139094927,1.376992965424896,1167844.45576715,13.970670262069973,1093.224408,6.9968867809177295
G07,0.82,28.94,0.32,NetPhoto,Elam,Echinopora lamellosa,60.5804914924574,4.103972918680366,15.4330529657591,2.736511505893567,4.628128938797836,1.5321526695305905,3.9629669139094927,1.376992965424896,1167844.45576715,13.970670262069973,1093.224408,6.9968867809177295
G08,1,29.23,0.54,NetPhoto,Elam,Echinopora lamellosa,61.425201366065,4.1178201966446855,13.744182987656,2.620615679156179,5.633746705737376,1.7287747102854523,3.9307366035292217,1.368826839241655,1433254.69854152,14.175458429008074,1515.58562,7.32355719110788
G08,1.6,29.96,0.73,GrossPhoto,Elam,Echinopora lamellosa,61.425201366065,4.1178201966446855,13.744182987656,2.620615679156179,5.633746705737376,1.7287747102854523,3.9307366035292217,1.368826839241655,1433254.69854152,14.175458429008074,1515.58562,7.32355719110788
G09,NA,NA,NA,NA,NA,NA,90.5304342930331,4.505686084703647,17.8808167266178,2.883728446924622,7.1867666467854425,1.972241369166285,5.1172544036146705,1.6326180459243316,1404418.4791182,14.155133881206226,1648.136814,7.40740072522748
G10,NA,NA,NA,NA,NA,NA,86.6445748098901,4.461814403813622,14.739220198185,2.690511981575101,5.904024847628744,1.7756342958985198,6.997636102328244,1.9455723923545465,843717.044054971,13.645572461508246,729.3206642,6.5921135038819365
