frag_ID,species_long,species,rep,image_no,image_id
E07,Pocillopora eydouxi,Peyd,2,2,P8174704
E07,Pocillopora eydouxi,Peyd,3,1,P8174705
E07,Pocillopora eydouxi,Peyd,3,2,P8174706
E07,Pocillopora eydouxi,Peyd,4,1,P8174707
E07,Pocillopora eydouxi,Peyd,4,2,P8174708
E07,Pocillopora eydouxi,Peyd,5,1,P8174709
E07,Pocillopora eydouxi,Peyd,5,2,P8174710
E07,Pocillopora eydouxi,Peyd,6,1,P8174711
E07,Pocillopora eydouxi,Peyd,6,2,P8174712
E08,Pocillopora eydouxi,Peyd,1,1,P8174714
E08,Pocillopora eydouxi,Peyd,1,2,P8174715
E08,Pocillopora eydouxi,Peyd,2,1,P8174716
E08,Pocillopora eydouxi,Peyd,2,2,P8174717
E08,Pocillopora eydouxi,Peyd,3,1,P8174718
E08,Pocillopora eydouxi,Peyd,3,2,P8174719
E08,Pocillopora eydouxi,Peyd,4,1,P8174720
E08,Pocillopora eydouxi,Peyd,4,2,P8174721
E08,Pocillopora eydouxi,Peyd,5,1,P8174722
E08,Pocillopora eydouxi,Peyd,5,2,P8174723
E08,Pocillopora eydouxi,Peyd,6,1,P8174724
E08,Pocillopora eydouxi,Peyd,6,2,P8174725
E09,Pocillopora eydouxi,Peyd,1,1,P8174727
E09,Pocillopora eydouxi,Peyd,1,2,P8174728
E09,Pocillopora eydouxi,Peyd,2,1,P8174729
E09,Pocillopora eydouxi,Peyd,2,2,P8174730
E09,Pocillopora eydouxi,Peyd,3,1,P8174731
E09,Pocillopora eydouxi,Peyd,3,2,P8174732
E09,Pocillopora eydouxi,Peyd,4,1,P8174733
E09,Pocillopora eydouxi,Peyd,4,2,P8174734
E09,Pocillopora eydouxi,Peyd,5,1,P8174735
E09,Pocillopora eydouxi,Peyd,5,2,P8174736
E09,Pocillopora eydouxi,Peyd,6,1,P8174737
E09,Pocillopora eydouxi,Peyd,6,2,P8174738
E10,Pocillopora eydouxi,Peyd,1,1,P8174740
E10,Pocillopora eydouxi,Peyd,1,2,P8174741
E10,Pocillopora eydouxi,Peyd,2,1,P8174742
E10,Pocillopora eydouxi,Peyd,2,2,P8174743
E10,Pocillopora eydouxi,Peyd,3,1,P8174744
E10,Pocillopora eydouxi,Peyd,3,2,P8174745
E10,Pocillopora eydouxi,Peyd,4,1,P8174746
E10,Pocillopora eydouxi,Peyd,4,2,P8174747
E10,Pocillopora eydouxi,Peyd,5,1,P8174748
E10,Pocillopora eydouxi,Peyd,5,2,P8174749
E10,Pocillopora eydouxi,Peyd,6,1,P8174750
E10,Pocillopora eydouxi,Peyd,6,2,P8174751
G01,Echinopora lamellosa,Elam,1,1,P8174753
G01,Echinopora lamellosa,Elam,1,2,P8174754
G01,Echinopora lamellosa,Elam,2,1,P8174755
G01,Echinopora lamellosa,Elam,2,2,P8174756
G01,Echinopora lamellosa,Elam,3,1,P8174757
G01,Echinopora lamellosa,Elam,3,2,P8174758
G01,Echinopora lamellosa,Elam,4,1,P8174759
G01,Echinopora lamellosa,Elam,4,2,P8174760
G01,Echinopora lamellosa,Elam,5,1,P8174761
G01,Echinopora lamellosa,Elam,5,2,P8174762
G01,Echinopora lamellosa,Elam,6,1,P8174763
G01,Echinopora lamellosa,Elam,6,2,P8174764
G02,Echinopora lamellosa,Elam,1,1,P8174766
G02,Echinopora lamellosa,Elam,1,2,P8174767
G02,Echinopora lamellosa,Elam,2,1,P8174768
G02,Echinopora lamellosa,Elam,2,2,P8174769
G02,Echinopora lamellosa,Elam,3,1,P8174770
G02,Echinopora lamellosa,Elam,3,2,P8174771
G02,Echinopora lamellosa,Elam,4,1,P8174772
G02,Echinopora lamellosa,Elam,4,2,P8174773
G02,Echinopora lamellosa,Elam,5,1,P8174774
G02,Echinopora lamellosa,Elam,5,2,P8174775
G02,Echinopora lamellosa,Elam,6,1,P8174776
G02,Echinopora lamellosa,Elam,6,2,P8174777
G03,Echinopora lamellosa,Elam,1,1,P8174779
G03,Echinopora lamellosa,Elam,1,2,P8174780
G03,Echinopora lamellosa,Elam,2,1,P8174781
G03,Echinopora lamellosa,Elam,2,2,P8174782
G03,Echinopora lamellosa,Elam,3,1,P8174783
G03,Echinopora lamellosa,Elam,3,2,P8174784
G03,Echinopora lamellosa,Elam,4,1,P8174785
G03,Echinopora lamellosa,Elam,4,2,P8174786
G03,Echinopora lamellosa,Elam,5,1,P8174787
G03,Echinopora lamellosa,Elam,5,2,P8174788
G03,Echinopora lamellosa,Elam,6,1,P8174789
G03,Echinopora lamellosa,Elam,6,2,P8174790
G04,Echinopora lamellosa,Elam,1,1,P8174792
G04,Echinopora lamellosa,Elam,1,2,P8174793
G04,Echinopora lamellosa,Elam,2,1,P8174794
G04,Echinopora lamellosa,Elam,2,2,P8174795
G04,Echinopora lamellosa,Elam,3,1,P8174796
G04,Echinopora lamellosa,Elam,3,2,P8174797
G04,Echinopora lamellosa,Elam,4,1,P8174798
G04,Echinopora lamellosa,Elam,4,2,P8174799
G04,Echinopora lamellosa,Elam,5,1,P8174800
G04,Echinopora lamellosa,Elam,5,2,P8174801
G04,Echinopora lamellosa,Elam,6,1,P8174802
G04,Echinopora lamellosa,Elam,6,2,P8174803
G05,Echinopora lamellosa,Elam,1,1,P8174805
G05,Echinopora lamellosa,Elam,1,2,P8174806
G05,Echinopora lamellosa,Elam,2,1,P8174807
G05,Echinopora lamellosa,Elam,2,2,P8174808
G05,Echinopora lamellosa,Elam,3,1,P8174809
G05,Echinopora lamellosa,Elam,3,2,P8174810
G05,Echinopora lamellosa,Elam,4,1,P8174811
G05,Echinopora lamellosa,Elam,4,2,P8174812
G05,Echinopora lamellosa,Elam,5,1,P8174813
G05,Echinopora lamellosa,Elam,5,2,P8174814
G05,Echinopora lamellosa,Elam,6,1,P8174815
G05,Echinopora lamellosa,Elam,6,2,P8174816
G06,Echinopora lamellosa,Elam,1,1,P8174818
G06,Echinopora lamellosa,Elam,1,2,P8174819
G06,Echinopora lamellosa,Elam,2,1,P8174820
G06,Echinopora lamellosa,Elam,2,2,P8174821
