frag_ID,mean_abs,mean_abs_adj,prot_ug_mL,Run,Slurry_vol_ml,prot_ug_total,prot_ug_cm2,full_species,species,blastate_vol_mL,morphology,stress,SA_cm2
J08,0.5378,0.442433333,561.3966066,RUN5,50,28069.83033,861.3346555,Acropora hyacinthus,Ahya,50,tabular,sensitive,32.58876228
J09,0.5413,0.445933333,566.0570801,RUN5,50,28302.85401,1014.818807,Acropora hyacinthus,Ahya,50,tabular,sensitive,27.88956394
J10,0.5377,0.442333333,561.2634503,RUN5,50,28063.17251,1108.55669,Acropora hyacinthus,Ahya,50,tabular,sensitive,25.31505405
B02,0.4985,0.390266667,526.0394176,RUN6,50,26301.97088,1510.213427,Montipora vietnamensis,Mvie,50,branching,tolerant,17.41606213
B03,0.602733333,0.4945,658.4729325,RUN6,50,32923.64663,1912.134602,Montipora vietnamensis,Mvie,50,branching,tolerant,17.21826831
B04,0.610466667,0.502233333,668.2985083,RUN6,50,33414.92542,1381.962152,Montipora vietnamensis,Mvie,50,branching,tolerant,24.1793347
B05,0.395366667,0.287133333,395.0035061,RUN6,50,19750.17531,1206.745541,Montipora vietnamensis,Mvie,50,branching,tolerant,16.36647879
B06,0.623433333,0.5152,684.7732884,RUN6,50,34238.66442,1180.134011,Montipora vietnamensis,Mvie,50,branching,tolerant,29.0125224
B07,0.361066667,0.252833333,351.4236894,RUN6,50,17571.18447,1108.615674,Montipora vietnamensis,Mvie,50,branching,tolerant,15.84966268
B08,0.2946,0.186366667,266.9745597,RUN6,50,13348.72798,1609.20823,Montipora vietnamensis,Mvie,50,branching,tolerant,8.29521484
B09,0.3053,0.197066667,280.5694296,RUN6,50,14028.47148,1907.571727,Montipora vietnamensis,Mvie,50,branching,tolerant,7.354099079
B10,0.29,0.181766667,261.1300361,RUN6,50,13056.50181,1471.54558,Montipora vietnamensis,Mvie,50,branching,tolerant,8.872645184
