date ,start_time,stop_time,frag_ID,species,sample_ID,FileID_csv,light_dark,run_block,blank ,chamber_channel,temp_c_level,temp_c_value
8/1/25,12:43,13:03,BLANK2_Run1,BLANK,BLANK2_Run1_TPC,BLANK2_Run1_TPC_O2.csv,DARK,RUN1,1,9,6,30
8/1/25,12:43,13:03,B01,Mvie,B01_TPC,B01_TPC_O2.csv,DARK,RUN1,0,10,6,30
8/1/25,12:43,13:03,H01,Maeq,H01_TPC,H01_TPC_O2.csv,DARK,RUN1,0,11,6,30
8/1/25,12:43,13:03,D01,Prus,D01_TPC,D01_TPC_O2.csv,DARK,RUN1,0,12,6,30
8/1/25,13:23,13:43,A01,Pcyl,A01_TPC,A01_TPC_O2.csv,LIGHT,RUN1,0,1,7,31
8/1/25,13:23,13:43,G01,Elam,G01_TPC,G01_TPC_O2.csv,LIGHT,RUN1,0,2,7,31
8/1/25,13:23,13:43,C01,Fcom,C01_TPC,C01_TPC_O2.csv,LIGHT,RUN1,0,3,7,31
8/1/25,13:23,13:43,F01,Prug,F01_TPC,F01_TPC_O2.csv,LIGHT,RUN1,0,4,7,31
8/1/25,13:23,13:43,E01,Peyd,E01_TPC,E01_TPC_O2.csv,LIGHT,RUN1,0,5,7,31
8/1/25,13:23,13:43,BLANK1_Run1,BLANK,BLANK1_Run1_TPC,BLANK1_Run1_TPC_O2.csv,LIGHT,RUN1,1,6,7,31
8/1/25,13:23,13:43,J01,Ahya,J01_TPC,J01_TPC_O2.csv,LIGHT,RUN1,0,7,7,31
8/1/25,13:23,13:43,I01,Tfro,I01_TPC,I01_TPC_O2.csv,LIGHT,RUN1,0,8,7,31
8/1/25,13:23,13:43,BLANK2_Run1,BLANK,BLANK2_Run1_TPC,BLANK2_Run1_TPC_O2.csv,LIGHT,RUN1,1,9,7,31
8/1/25,13:23,13:43,B01,Mvie,B01_TPC,B01_TPC_O2.csv,LIGHT,RUN1,0,10,7,31
8/1/25,13:23,13:43,H01,Maeq,H01_TPC,H01_TPC_O2.csv,LIGHT,RUN1,0,11,7,31
8/1/25,13:23,13:43,D01,Prus,D01_TPC,D01_TPC_O2.csv,LIGHT,RUN1,0,12,7,31
8/1/25,13:44,14:05,A01,Pcyl,A01_TPC,A01_TPC_O2.csv,DARK,RUN1,0,1,7,31
8/1/25,13:44,14:05,G01,Elam,G01_TPC,G01_TPC_O2.csv,DARK,RUN1,0,2,7,31
8/1/25,13:44,14:05,C01,Fcom,C01_TPC,C01_TPC_O2.csv,DARK,RUN1,0,3,7,31
8/1/25,13:44,14:05,F01,Prug,F01_TPC,F01_TPC_O2.csv,DARK,RUN1,0,4,7,31
8/1/25,13:44,14:05,E01,Peyd,E01_TPC,E01_TPC_O2.csv,DARK,RUN1,0,5,7,31
8/1/25,13:44,14:05,BLANK1_Run1,BLANK,BLANK1_Run1_TPC,BLANK1_Run1_TPC_O2.csv,DARK,RUN1,1,6,7,31
8/1/25,13:44,14:05,J01,Ahya,J01_TPC,J01_TPC_O2.csv,DARK,RUN1,0,7,7,31
8/1/25,13:44,14:05,I01,Tfro,I01_TPC,I01_TPC_O2.csv,DARK,RUN1,0,8,7,31
8/1/25,13:44,14:05,BLANK2_Run1,BLANK,BLANK2_Run1_TPC,BLANK2_Run1_TPC_O2.csv,DARK,RUN1,1,9,7,31
8/1/25,13:44,14:05,B01,Mvie,B01_TPC,B01_TPC_O2.csv,DARK,RUN1,0,10,7,31
8/1/25,13:44,14:05,H01,Maeq,H01_TPC,H01_TPC_O2.csv,DARK,RUN1,0,11,7,31
8/1/25,13:44,14:05,D01,Prus,D01_TPC,D01_TPC_O2.csv,DARK,RUN1,0,12,7,31
8/1/25,14:47,15:08,A01,Pcyl,A01_TPC,A01_TPC_O2.csv,LIGHT,RUN1,0,1,8,32
8/1/25,14:47,15:08,G01,Elam,G01_TPC,G01_TPC_O2.csv,LIGHT,RUN1,0,2,8,32
8/1/25,14:47,15:08,C01,Fcom,C01_TPC,C01_TPC_O2.csv,LIGHT,RUN1,0,3,8,32
8/1/25,14:47,15:08,F01,Prug,F01_TPC,F01_TPC_O2.csv,LIGHT,RUN1,0,4,8,32
8/1/25,14:47,15:08,E01,Peyd,E01_TPC,E01_TPC_O2.csv,LIGHT,RUN1,0,5,8,32
8/1/25,14:47,15:08,BLANK1_Run1,BLANK,BLANK1_Run1_TPC,BLANK1_Run1_TPC_O2.csv,LIGHT,RUN1,1,6,8,32
8/1/25,14:47,15:08,J01,Ahya,J01_TPC,J01_TPC_O2.csv,LIGHT,RUN1,0,7,8,32
8/1/25,14:47,15:08,I01,Tfro,I01_TPC,I01_TPC_O2.csv,LIGHT,RUN1,0,8,8,32
8/1/25,14:47,15:08,BLANK2_Run1,BLANK,BLANK2_Run1_TPC,BLANK2_Run1_TPC_O2.csv,LIGHT,RUN1,1,9,8,32
8/1/25,14:47,15:08,B01,Mvie,B01_TPC,B01_TPC_O2.csv,LIGHT,RUN1,0,10,8,32
8/1/25,14:47,15:08,H01,Maeq,H01_TPC,H01_TPC_O2.csv,LIGHT,RUN1,0,11,8,32
